"번호","과정","레벨","단계","학년","id","문법 이름","문장 틀","한 줄 설명","예문 1","예문 2","예문 3","예문 4","예문 5","예문 6","예문 7","예문 8","이럴 때 써요","쉽게 이해하기","예문 해석","규칙","틀리기 쉬운 것 (✗ → ✓)","한 줄 정리","단어장 바꾸기 틀","넣을 카테고리","검수 메모"
"60","중등","중2","grow","중2","m-passive","수동태 (be + 과거분사)","[ ] is/was [과거분사] (by [ ]).","""~되다, ~받다""처럼 동작을 받는 쪽을 주어로 말해요.","This bridge was built in 1990.","English is spoken in many countries.","The window was broken by Tom.","The cookies were made by my dad.","The letter will be sent tomorrow.","","","","행동을 받는 쪽이 더 중요할 때
누가 했는지 모르거나 중요하지 않을 때","능동: Tom broke the window. → 수동: The window was broken by Tom.
be동사 + 과거분사 = ~되다, ~받다
누가 했는지는 by ~로 붙이거나 생략해요.","1. 이 다리는 1990년에 지어졌다.
2. 영어는 많은 나라에서 쓰인다.
3. 창문은 톰에 의해 깨졌다.
4. 쿠키는 아빠가 만드셨다.
5. 편지는 내일 보내질 것이다.","be동사 + 과거분사 (+ by 행위자)
시제는 be동사로: is made / was made / will be made
누가 했는지 중요하지 않으면 by ~는 생략해요","✗ The car was wash by him. → ✓ The car was washed by him. (be동사 뒤에는 과거분사)
✗ This song is loving by many people. → ✓ This song is loved by many people. (수동태는 -ing가 아니라 과거분사)","주어가 ""당하는"" 쪽이면 be + p.p.!","(바꾸기 안 함)","",""
"61","중등","중2","grow","중2","m-to-inf-adj-adv","to부정사 (~할 / ~하기 위해)","something to [ ] / I went there to [ ].","to부정사가 명사를 꾸미거나(~할), 목적·감정의 이유(~하기 위해, ~해서)를 말해요.","I need something to drink.","She went to the library to study.","I'm glad to meet you.","He has a lot of homework to do.","We got up early to see the sunrise.","","","","명사를 꾸며 ""~할 무엇""이라고 할 때
""~하기 위해서""라고 목적을 말할 때
""~해서 기쁘다/슬프다""처럼 감정의 이유를 말할 때","명사 + to부정사: something to drink = 마실 것
목적: to study = 공부하기 위해
감정 + to부정사: glad to meet you = 만나서 기쁜","1. 나는 마실 것이 필요해.
2. 그녀는 공부하러 도서관에 갔다.
3. 만나서 반가워.
4. 그는 해야 할 숙제가 많다.
5. 우리는 해돋이를 보려고 일찍 일어났다.","명사 + to부정사: ~할 (something to drink)
목적: ~하기 위해 (to study)
감정의 원인: glad to meet you","✗ I need something drink. → ✓ I need something to drink. (명사를 꾸밀 때는 to부정사)","해석이 ""~할"", ""~하려고"", ""~해서"" 중 무엇이 자연스러운지 넣어 보세요.","I went to the park to {verb}.","동작, 취미/오락, 일상생활, 스포츠",""
"62","중등","중2","grow","중2","m-gerund-vs-inf","동명사 vs to부정사 목적어","I enjoy [ ]ing. / I want to [ ].","동사마다 뒤에 동명사가 올지, to부정사가 올지 정해져 있어요.","He gave up eating junk food.","They promised to come back.","I like swimming. = I like to swim.","It started raining again.","She stopped to buy some water.","","","","동사 뒤에 -ing를 쓸지 to를 쓸지 고를 때","끝냈거나 즐기는 일(이미 하는 일) → -ing: enjoy, finish, give up
앞으로 할 일 → to: want, hope, plan, promise
stop -ing = ~을 그만두다 / stop to = ~하려고 멈추다","1. 그는 정크푸드 먹는 걸 끊었다.
2. 그들은 다시 오겠다고 약속했다.
3. 나는 수영하는 걸 좋아한다. (둘 다 가능)
4. 다시 비가 오기 시작했다.
5. 그녀는 물을 사려고 멈췄다. (stop to = ~하려고)","동명사만: enjoy · finish · mind · give up · keep
to부정사만: want · hope · plan · decide · promise
둘 다: like · love · start · begin
stop -ing(~을 멈추다) vs stop to(~하려고 멈추다)","✗ I finished to read the book. → ✓ I finished reading the book. (finish는 동명사)
✗ We decided going there. → ✓ We decided to go there. (decide는 to부정사)","이미 하는 일은 -ing, 앞으로 할 일은 to!","(바꾸기 안 함)","",""
"63","중등","중2","grow","중2","m-object-complement","5형식 (make me happy / want me to ~)","The song makes me [ ]. / She wants me to [ ].","목적어 뒤에 그 목적어의 상태나 할 일을 한 번 더 말해요.","This song makes me happy.","My mom wants me to clean my room.","We call our dog Coco.","Please keep the door open.","The teacher told us to be quiet.","","","","누군가를 어떤 상태로 만들거나, 무엇을 하라고 시키거나, 무엇이라고 부를 때","목적어 뒤의 말이 목적어를 설명해요. (me = happy)
make/keep + 목적어 + 형용사
want/tell/ask + 목적어 + to부정사
call/name + 목적어 + 명사","1. 이 노래는 나를 행복하게 한다.
2. 엄마는 내가 방을 청소하기를 원하신다.
3. 우리는 우리 개를 코코라고 부른다.
4. 문을 열어 두세요.
5. 선생님은 우리에게 조용히 하라고 하셨다.","make · keep · find + 목적어 + 형용사
want · ask · tell · allow + 목적어 + to부정사
call · name + 목적어 + 명사","✗ She wants me clean my room. → ✓ She wants me to clean my room. (want + 목적어 + to부정사)
✗ The movie made me sadly. → ✓ The movie made me sad. (목적어 뒤에는 형용사)","목적어 = 목적격 보어 관계인지 확인하세요.","This song makes me {adj}.","감정",""
"64","중등","중2","grow","중2","m-relative-subject","관계대명사 who / which / that (주격)","a girl who [ ] / a book which [ ]","앞의 명사를 뒤에서 문장으로 꾸며 줘요.","I have a friend who lives in Canada.","The boy who is singing is my brother.","I like movies that have happy endings.","The dog which is sleeping is Max.","She is the girl who won the race.","","","","사람이나 물건을 뒤에서 자세히 꾸며 줄 때","두 문장을 합치는 방법: I have a friend. + He lives in Canada. → a friend who lives in Canada
사람은 who, 사물·동물은 which, 둘 다 that 가능
관계대명사 뒤 동사는 앞 명사의 수에 맞춰요.","1. 나는 캐나다에 사는 친구가 있다.
2. 노래하고 있는 남자아이는 우리 형이다.
3. 나는 행복하게 끝나는 영화가 좋다.
4. 자고 있는 개는 맥스다.
5. 그녀가 경주에서 이긴 아이다.","사람 + who (that)
사물·동물 + which (that)
관계대명사 뒤 동사는 앞 명사에 맞춰요","✗ I have a friend which lives in Canada. → ✓ I have a friend who lives in Canada. (사람은 who)
✗ The boy who are singing is my brother. → ✓ The boy who is singing is my brother. (앞 명사(the boy)에 맞춰 is)","명사 뒤에 who/which가 오면 ""~하는 (명사)""로 해석!","(바꾸기 안 함)","",""
"65","중등","중2","grow","중2","m-relative-object","목적격 관계대명사 (생략 가능)","the book (that) I read","관계대명사가 뒤 문장의 목적어 역할을 할 때는 생략할 수 있어요.","This is the book (that) I read yesterday.","The girl (who) I met was kind.","The pizza (which) we ordered was cold.","Is this the bag (that) you lost?","He is the singer I like most.","","","","""내가 ~한 (명사)""처럼 뒤 문장의 목적어가 되는 명사를 꾸밀 때","This is the book. + I read it yesterday. → the book (that) I read yesterday
목적격 관계대명사는 자주 생략해요: the singer I like
관계대명사가 이미 목적어라서 it을 또 쓰지 않아요.","1. 이건 내가 어제 읽은 책이다.
2. 내가 만난 여자아이는 친절했다.
3. 우리가 주문한 피자는 식어 있었다.
4. 이게 네가 잃어버린 가방이야?
5. 그는 내가 가장 좋아하는 가수다. (관계대명사 생략)","명사 + (who/which/that) + 주어 + 동사
목적격 관계대명사는 생략 가능
뒤 문장에 목적어를 또 쓰지 않아요","✗ This is the book that I read it. → ✓ This is the book that I read. (관계대명사가 목적어라 it을 또 쓰지 않아요)","명사 바로 뒤에 ""주어 + 동사""가 오면 관계대명사가 숨어 있어요.","(바꾸기 안 함)","",""
"66","중등","중2","grow","중2","m-have-to","have to / must not / don't have to","You have to [ ]. / You don't have to [ ]. / You must not [ ].","해야 하는 일, 안 해도 되는 일, 하면 안 되는 일을 구별해요.","We have to wear a uniform.","You don't have to hurry.","You must not use your phone in class.","She has to get up early.","I had to wait for an hour.","","","","해야 하는 일·안 해도 되는 일·하면 안 되는 일을 구별할 때","have to = must: ~해야 한다
don't have to: ~할 필요가 없다 (해도 되고 안 해도 됨)
must not: ~하면 안 된다 (금지)
과거는 had to","1. 우리는 교복을 입어야 한다.
2. 서두를 필요 없어.
3. 수업 중에 휴대폰을 쓰면 안 된다. (금지)
4. 그녀는 일찍 일어나야 한다. (she → has to)
5. 나는 한 시간을 기다려야 했다. (과거 → had to)","have to = must: ~해야 한다
don't have to: ~할 필요 없다
must not: ~하면 안 된다 (금지)
과거: had to","✗ She have to go now. → ✓ She has to go now. (3인칭 단수는 has to)
✗ You don't have to run here. (금지) → ✓ You must not run here. (금지는 must not)","don't have to는 ""안 해도 돼"", must not은 ""하면 안 돼""!","You don't have to {verb}.","동작, 취미/오락, 일상생활, 스포츠",""
"67","중등","중2","bridge","중2","m-tag-questions","부가의문문 (…, isn't it?)","It's cold, isn't it? / You like pizza, don't you?","말끝에 짧은 질문을 붙여 ""그렇지?"" 하고 확인해요.","You are a student, aren't you?","She can swim, can't she?","He didn't come, did he?","Tom likes soccer, doesn't he?","It was fun, wasn't it?","","","","""그렇지?"", ""그렇지 않니?"" 하고 확인할 때","앞이 긍정이면 꼬리는 부정, 앞이 부정이면 꼬리는 긍정
be동사·조동사는 그대로, 일반동사는 do/does/did로
꼬리의 주어는 대명사로 바꿔요: Tom → he","1. 너 학생이지, 그렇지?
2. 그녀는 수영할 수 있지, 그렇지?
3. 그는 안 왔지, 그렇지?
4. 톰은 축구 좋아하지, 그렇지?
5. 재미있었지, 그렇지?","긍정문 → 부정 꼬리, 부정문 → 긍정 꼬리
be동사·조동사는 그대로, 일반동사는 do/does/did
꼬리의 주어는 대명사","✗ Tom likes soccer, doesn't Tom? → ✓ Tom likes soccer, doesn't he? (꼬리 주어는 대명사)","앞과 반대로, 동사 종류는 그대로!","(바꾸기 안 함)","",""
"68","중등","중2","bridge","중2","m-because-although","because / because of / although","Because it rained, … / Although it rained, …","이유는 because, ""~이지만""은 although로 이어요.","I stayed home because I had a cold.","We canceled the game because of the rain.","Although he was tired, he kept working.","Though it was cold, we went swimming.","I was late because I missed the bus.","","","","이유를 말할 때(because)
""~이지만""이라고 반대 상황을 말할 때(although)","because + 주어 + 동사 / because of + 명사
although(though) + 주어 + 동사 = ~이지만
although와 but은 한 문장에 같이 쓰지 않아요.","1. 감기에 걸려서 집에 있었다.
2. 비 때문에 경기를 취소했다. (because of + 명사)
3. 그는 피곤했지만 계속 일했다.
4. 추웠지만 우리는 수영하러 갔다.
5. 버스를 놓쳐서 늦었다.","because + 주어 + 동사 / because of + 명사
although (though): ~이지만
although와 but은 같이 쓰지 않아요","✗ Because of it rained, we stayed home. → ✓ Because it rained, we stayed home. (주어 + 동사 앞에는 because)
✗ Although it was cold, but we went out. → ✓ Although it was cold, we went out. (although와 but을 같이 쓰지 않아요)","뒤에 문장이면 because, 명사면 because of!","(바꾸기 안 함)","",""
"69","중등","중2","bridge","중2","m-superlative-one-of","one of the + 최상급 + 복수명사","one of the [ ]est [ ]s","""가장 ~한 것들 중 하나""라고 말할 때 써요.","Seoul is one of the biggest cities in the world.","He is the tallest in his class.","This is the most exciting game of the year.","She is one of the best players on the team.","Summer is the hottest of the four seasons.","","","","""가장 ~한 것 중 하나""라고 말할 때
어떤 범위에서 가장 ~한지 말할 때","one of the + 최상급 + 복수명사 (가장 ~한 것들 중 하나)
the + 최상급 + in + 장소·집단 (in my class)
the + 최상급 + of + 비교 대상들 (of the four seasons)","1. 서울은 세계에서 가장 큰 도시 중 하나다.
2. 그는 반에서 키가 가장 크다.
3. 이건 올해 가장 신나는 경기다.
4. 그녀는 팀에서 가장 잘하는 선수 중 한 명이다.
5. 여름은 사계절 중 가장 덥다.","one of the + 최상급 + 복수명사
the + 최상급 + in(장소·집단) / of(비교 대상들)","✗ one of the best player → ✓ one of the best players (one of 뒤에는 복수명사)","one of 뒤에는 꼭 복수명사!","(바꾸기 안 함)","",""
"70","중등","중3","entry","중3","m-relative-what","관계대명사 what (~하는 것)","What I want is [ ]. / Tell me what you need.","what은 ""~하는 것""이라는 뜻으로, 앞에 꾸밀 명사가 없어요.","What I need is some rest.","This is what I wanted.","Show me what you bought.","I can't believe what he said.","What she said was true.","","","","""~하는 것""을 한 단어로 말할 때","what = the thing that (~하는 것)
what 앞에는 꾸밀 명사(선행사)가 없어요.
What I need = 내가 필요한 것","1. 내게 필요한 건 휴식이다.
2. 이게 내가 원했던 거야.
3. 네가 산 걸 보여 줘.
4. 그가 한 말을 믿을 수 없어.
5. 그녀가 한 말은 사실이었다.","what = the thing(s) which: ~하는 것
앞에 선행사(꾸밀 명사)가 없어요","✗ This is the thing what I wanted. → ✓ This is what I wanted. (what 앞에는 선행사가 없어요)","앞에 명사가 없는데 ""~하는 것""이면 what!","(바꾸기 안 함)","",""
"71","중등","중3","entry","중3","m-relative-adverb","관계부사 where / when / why / how","the place where … / the day when …","장소·시간·이유·방법을 나타내는 명사를 뒤에서 꾸며요.","This is the house where I was born.","I remember the day when we first met.","Tell me the reason why you were late.","This is how I solved the problem.","Do you know a place where we can eat?","","","","장소·시간·이유·방법 명사를 뒤에서 꾸밀 때","장소 + where, 시간 + when, 이유(the reason) + why, 방법 + how
관계부사 뒤에는 빠진 것 없는 완전한 문장이 와요.
the way와 how는 둘 중 하나만 써요.","1. 이곳이 내가 태어난 집이다.
2. 나는 우리가 처음 만난 날을 기억한다.
3. 네가 늦은 이유를 말해 줘.
4. 이렇게 나는 문제를 풀었다.
5. 우리가 밥 먹을 수 있는 곳 알아?","장소 + where · 시간 + when · the reason + why
the way how는 같이 쓰지 않고 the way 또는 how 하나만","✗ This is the way how I did it. → ✓ This is how I did it. (the way와 how는 둘 중 하나만)","앞 명사가 장소면 where, 시간이면 when!","(바꾸기 안 함)","",""
"72","중등","중3","grow","중3","m-participle","분사 (sleeping baby / broken window)","a sleeping baby / a broken window","동사의 -ing(~하는), 과거분사(~된)가 형용사처럼 명사를 꾸며요.","Look at the sleeping baby.","Don't touch the broken glass.","The game was really exciting.","I was excited about the trip.","The boy wearing a cap is my brother.","","","","동사를 형용사처럼 써서 명사를 꾸밀 때
감정을 나타낼 때 (exciting / excited)","-ing(현재분사): ~하는, ~하고 있는 — a sleeping baby
p.p.(과거분사): ~된, ~당한 — broken glass
감정: 감정을 주는 쪽은 -ing(exciting), 느끼는 쪽은 p.p.(excited)","1. 자고 있는 아기를 봐.
2. 깨진 유리를 만지지 마.
3. 경기는 정말 신났다. (경기가 신나게 함)
4. 나는 여행 때문에 신이 났다. (내가 신남을 느낌)
5. 모자를 쓴 남자아이가 우리 형이다.","현재분사(-ing): ~하는 (능동·진행)
과거분사(p.p.): ~된 (수동·완료)
감정: exciting(신나게 하는) vs excited(신이 난)","✗ I was very boring in class. → ✓ I was very bored in class. (내가 지루함을 느끼면 bored)","내가 느끼면 -ed, 남을 그렇게 만들면 -ing!","(바꾸기 안 함)","",""
"73","중등","중3","grow","중3","m-causative","사역동사 make / let / have","My mom made me [ ] my room.","""~에게 …하게 하다""는 사역동사 + 목적어 + 동사원형이에요.","My mom made me clean my room.","Let me introduce myself.","I had him fix my bike.","He helped me carry the boxes.","The teacher let us go home early.","","","","누군가에게 무엇을 하게 시키거나 허락할 때","make: 억지로 ~하게 하다 · let: ~하게 허락하다 · have: ~하게 시키다(맡기다)
이 세 동사는 목적어 뒤에 동사원형을 써요.
help는 동사원형·to부정사 둘 다 돼요.","1. 엄마가 나에게 방을 청소하게 하셨다.
2. 제 소개를 할게요.
3. 나는 그에게 자전거를 고치게 했다.
4. 그는 내가 상자를 나르는 걸 도와줬다.
5. 선생님이 우리를 일찍 집에 가게 해 주셨다.","make · let · have + 목적어 + 동사원형
get + 목적어 + to부정사
help + 목적어 + (to) 동사원형","✗ She made me to wait. → ✓ She made me wait. (사역동사 + 목적어 다음은 동사원형)","make · let · have + 사람 + 동사원형!","Let me {verb}.","동작, 취미/오락, 일상생활, 스포츠",""
"74","중등","중3","grow","중3","m-perception","지각동사 see / hear / watch + 목적어 + 동사","I saw him [ ].","보고 듣고 느낀 것을 목적어 + 동사원형(또는 -ing)으로 말해요.","I saw him cross the street.","We heard someone singing.","She watched the kids play outside.","I felt the ground shake.","Did you hear the phone ring?","","","","보거나 듣거나 느낀 장면을 그대로 말할 때","see, watch, hear, feel + 목적어 + 동사원형 (처음부터 끝까지 봄)
+ -ing를 쓰면 ""하고 있는 중""을 봤다는 느낌이에요.
to는 쓰지 않아요.","1. 나는 그가 길을 건너는 걸 봤다.
2. 우리는 누군가 노래하고 있는 걸 들었다.
3. 그녀는 아이들이 밖에서 노는 걸 지켜봤다.
4. 나는 땅이 흔들리는 걸 느꼈다.
5. 전화벨 울리는 거 들었어?","see · watch · hear · feel + 목적어 + 동사원형 또는 -ing
-ing를 쓰면 ""하고 있는 중""을 강조해요","✗ I saw him to dance. → ✓ I saw him dance. (지각동사 뒤에는 to 없이)","보고 듣는 동사 + 사람 + 동사원형(또는 -ing)!","I saw her {verb}.","동작, 취미/오락, 일상생활, 스포츠",""
"75","중등","중3","grow","중3","m-it-to","가주어 it ~ to부정사","It is [ ] to [ ].","긴 to부정사 주어는 뒤로 보내고 그 자리에 it을 써요.","It is fun to play board games.","It is hard for me to get up early.","It is important to drink enough water.","It is dangerous to swim here.","It was easy to find the answer.","","","","""~하는 것은 …하다""를 자연스럽게 말할 때","To play board games is fun. → 주어가 길어서 뒤로 보내고 It을 앞에 둬요.
It is + 형용사 + to부정사
누가 하는지 말하려면 for + 사람: It is hard for me to …","1. 보드게임 하는 건 재미있다.
2. 나는 일찍 일어나는 게 힘들다.
3. 물을 충분히 마시는 건 중요하다.
4. 여기서 수영하는 건 위험하다.
5. 답을 찾는 건 쉬웠다.","It is + 형용사 + (for 사람) + to부정사
진짜 주어는 to부정사, it은 가짜 주어","✗ It is hard for me get up early. → ✓ It is hard for me to get up early. (to부정사를 빼먹지 않기)","It을 보면 뒤의 to부정사가 진짜 주인공!","It is fun to {verb}.","동작, 취미/오락, 일상생활, 스포츠",""
"76","중등","중3","grow","중3","m-too-enough-so","too ~ to / enough to / so ~ that","too [ ] to [ ] / [ ] enough to [ ] / so [ ] that …","정도가 지나치거나 충분한지, 그래서 어떻게 됐는지 말해요.","I'm too tired to walk.","She is old enough to drive.","It was so cold that we stayed inside.","This box is too heavy to lift.","He ran so fast that nobody caught him.","","","","정도가 지나쳐서 못 하거나(too … to), 충분해서 할 수 있을 때(enough to)
""너무 ~해서 …했다""라고 결과를 말할 때(so … that)","too + 형용사 + to = 너무 ~해서 …할 수 없다 (부정의 뜻)
형용사 + enough to = …할 만큼 충분히 ~하다
so + 형용사 + that + 문장 = 너무 ~해서 …하다","1. 나는 너무 피곤해서 걸을 수 없다.
2. 그녀는 운전할 만큼 나이가 들었다.
3. 너무 추워서 우리는 안에 있었다.
4. 이 상자는 너무 무거워서 들 수 없다.
5. 그는 너무 빨리 달려서 아무도 그를 못 잡았다.","too + 형용사 + to부정사: 너무 ~해서 …할 수 없다
형용사 + enough to: …할 만큼 충분히 ~하다
so + 형용사 + that + 주어 + 동사: 너무 ~해서 …하다","✗ She is enough old to drive. → ✓ She is old enough to drive. (enough는 형용사 뒤에)","too는 ""못 한다"", enough는 ""할 수 있다""!","(바꾸기 안 함)","",""
"77","중등","중3","grow","중3","m-indirect-question","간접의문문 (Do you know where he lives?)","Do you know where he lives?","질문이 다른 문장 속에 들어가면 주어 + 동사 순서가 돼요.","Do you know where she lives?","I wonder what time it is.","Can you tell me how I can get there?","I don't know if he will come.","Please tell me who your teacher is.","","","","질문을 다른 문장 속에 넣어 공손하게 물을 때","Where does she live? → Do you know where she lives?
의문사 뒤를 ""주어 + 동사"" 평서문 순서로 바꿔요.
의문사가 없는 질문은 if/whether: Is he coming? → I don't know if he will come.","1. 그녀가 어디 사는지 알아?
2. 지금 몇 시인지 궁금해.
3. 거기 어떻게 가는지 알려 줄래?
4. 그가 올지 모르겠어.
5. 너희 선생님이 누구인지 말해 줘.","의문사 + 주어 + 동사 (평서문 순서)
의문사가 없으면 if / whether + 주어 + 동사","✗ Do you know where does she live? → ✓ Do you know where she lives? (간접의문문은 주어 + 동사 순서)","문장 속 질문은 ""의문사 + 주어 + 동사"" 순서!","(바꾸기 안 함)","",""
"78","중등","중3","bridge","중3","m-subjunctive","가정법 과거 (If I were ~)","If I were [ ], I would [ ].","지금 사실과 반대되는 일을 상상할 때 과거형을 써요.","If I were a bird, I would fly to you.","If I had a lot of money, I would buy a house.","I wish I could speak French.","If he knew the answer, he would tell us.","I wish I were taller.","","","","지금 사실과 반대되는 상상을 할 때
이룰 수 없는 소망을 말할 때 (I wish)","현재를 상상하는데 과거형을 써서 ""사실은 아니다""라는 신호를 줘요.
If + 과거동사, would + 동사원형 (be동사는 were)
실제로 바꾸면: If I were a bird … → I'm not a bird.","1. 내가 새라면 너에게 날아갈 텐데. (실제: 새가 아님)
2. 돈이 많다면 집을 살 텐데.
3. 프랑스어를 할 수 있으면 좋을 텐데.
4. 그가 답을 안다면 우리에게 말해 줄 텐데.
5. 키가 더 크면 좋을 텐데.","If + 주어 + 과거동사(be는 were), 주어 + would/could + 동사원형
I wish + 과거동사: ~라면 좋을 텐데","✗ If I am a bird, I would fly. → ✓ If I were a bird, I would fly. (가정법 과거는 과거형(be는 were))","현재 얘기인데 과거형이 보이면 ""상상""이에요.","(바꾸기 안 함)","",""
"79","중등","중3","bridge","중3","m-past-perfect","과거완료 (had + 과거분사)","When I arrived, the bus had already left.","과거의 어느 때보다 더 먼저 일어난 일을 말해요.","When I got to the station, the train had already left.","I had never seen snow before I visited Canada.","She lost the book that I had lent her.","We had finished dinner when Dad came home.","He said he had lost his key.","","","","과거의 두 일 중 ""더 먼저"" 일어난 일을 표시할 때","had + 과거분사
나중 일은 과거, 먼저 일은 과거완료로 써요.
When I got there, the train had left. → 기차가 떠난 게 먼저","1. 내가 역에 도착했을 때 기차는 이미 떠났다.
2. 나는 캐나다에 가기 전까지 눈을 본 적이 없었다.
3. 그녀는 내가 빌려줬던 책을 잃어버렸다.
4. 아빠가 오셨을 때 우리는 저녁을 다 먹었었다.
5. 그는 열쇠를 잃어버렸었다고 말했다.","had + 과거분사
과거 시점보다 더 이전의 일","✗ When I arrived, the bus has already left. → ✓ When I arrived, the bus had already left. (과거보다 더 이전은 had + p.p.)","두 과거 중 더 먼저 일어난 쪽에 had p.p.!","(바꾸기 안 함)","",""
"80","중등","중3","bridge","중3","m-passive-advanced","수동태 확장 (can be done / be interested in)","It can be [과거분사]. / I'm interested in [ ].","조동사가 있는 수동태와, by 대신 다른 전치사를 쓰는 표현이에요.","This problem can be solved easily.","The work must be finished by Friday.","I'm interested in science.","The box was filled with toys.","The mountain is covered with snow.","","","","조동사와 함께 수동태를 쓸 때
by 대신 다른 전치사를 쓰는 수동 표현을 쓸 때","조동사 + be + 과거분사: can be solved, must be finished
be interested in(~에 관심 있다), be filled with(~로 가득 차다), be covered with(~로 덮여 있다)
be known for(~로 유명하다), be made of(~로 만들어지다)","1. 이 문제는 쉽게 풀 수 있다.
2. 일은 금요일까지 끝나야 한다.
3. 나는 과학에 관심이 있다.
4. 상자는 장난감으로 가득 차 있었다.
5. 산은 눈으로 덮여 있다.","조동사 + be + 과거분사
be interested in · be filled with · be covered with · be known for · be made of","✗ The work must finished today. → ✓ The work must be finished today. (조동사 뒤에 be를 빼먹지 않기)","be interested in처럼 짝지어진 전치사는 통째로 외우세요.","(바꾸기 안 함)","",""
"81","8품사","8품사","entry","8품사","pos-overview","8품사 한눈에 보기","[명사] [대명사] [동사] [형용사] [부사] [전치사] [접속사] [감탄사]","영어 단어는 문장에서 하는 일에 따라 8가지 무리(품사)로 나눠요.","Tom is my friend.","He likes pizza.","Birds fly.","It is a red apple.","She sings beautifully.","The cat is under the table.","I like milk and bread.","Oh, I forgot!","문장에서 단어가 어떤 역할을 하는지 알면 문장 구조가 보여요.
사전의 n.(명사), v.(동사), adj.(형용사), adv.(부사) 표시를 읽을 수 있어요.
""형용사는 명사를 꾸며요"" 같은 문법 설명을 이해하는 바탕이에요.","명사는 이름, 대명사는 이름 대신 쓰는 말, 동사는 움직임이나 상태예요.
형용사는 명사를 꾸미고, 부사는 동사·형용사·다른 부사·문장 전체를 꾸며요.
전치사는 명사 앞에서 위치·시간·방향을 알려 주고, 접속사는 말과 말을 이어요.
감탄사는 놀람·기쁨 같은 감정을 짧게 나타내요.
같은 단어도 문장에서 하는 일에 따라 품사가 바뀌어요. I drink water.(명사) / I water the plants.(동사)","1. 톰은 내 친구야. (Tom = 명사: 사람 이름)
2. 그는 피자를 좋아해. (He = 대명사: Tom 대신)
3. 새들은 날아. (fly = 동사: 움직임)
4. 그건 빨간 사과야. (red = 형용사: apple을 꾸밈)
5. 그녀는 아름답게 노래해. (beautifully = 부사: sings를 꾸밈)
6. 고양이가 탁자 아래에 있어. (under = 전치사: 위치)
7. 나는 우유와 빵을 좋아해. (and = 접속사: 두 말을 이음)
8. 아, 깜빡했다! (Oh = 감탄사: 놀람)","명사(n.) · 대명사(pron.) · 동사(v.) · 형용사(adj.)
부사(adv.) · 전치사(prep.) · 접속사(conj.) · 감탄사(interj.)","✗ He is a happily boy. → ✓ He is a happy boy. (명사(boy)를 꾸미는 건 형용사)
✗ She runs quick. → ✓ She runs quickly. (동사(runs)를 꾸미는 건 부사)","""이름 → 명사, 움직임 → 동사, 꾸미기 → 형용사(명사를)·부사(나머지를)""부터 기억하세요.","(바꾸기 안 함)","",""
"82","8품사","8품사","entry","8품사","pos-noun","명사 (Noun)","Tom has a dog. / I drink water.","사람·사물·장소·생각 등 모든 것의 이름이에요.","I have a dog and two cats.","Can I have a glass of water?","Seoul is a big city.","Honesty is important.","She gave me some advice.","","","","무엇(누구)에 대해 말하는지 주인공을 정할 때
동사가 무엇을 하는지 그 대상을 말할 때
셀 수 있는지 없는지에 따라 a/an, -s, many/much가 달라져요","셀 수 있는 명사: 하나, 둘 셀 수 있어요. 하나면 a/an, 여러 개면 -s를 붙여요. (a book, two books)
셀 수 없는 명사: 물·돈·정보처럼 모양이 일정하지 않거나 눈에 안 보이는 것. a/an도 -s도 안 붙여요. (water, money, information)
셀 수 없는 명사를 셀 때는 단위를 써요. (a glass of water, a piece of paper)
사람 이름·나라·도시 같은 고유명사는 대문자로 시작해요. (Korea, Seoul, Minji)","1. 나는 개 한 마리와 고양이 두 마리가 있어.
2. 물 한 잔 마실 수 있을까요? (water는 셀 수 없어서 a glass of)
3. 서울은 큰 도시야. (Seoul = 고유명사)
4. 정직은 중요해. (눈에 안 보이는 생각도 명사)
5. 그녀가 나에게 조언을 좀 해 줬어. (advice는 셀 수 없어요)","셀 수 있는 명사: a/an + 단수 / 복수형 -s·-es
셀 수 없는 명사: a/an ✗, -s ✗ → a glass of, a piece of로 세기
고유명사: 대문자로 시작","✗ I need an information. → ✓ I need some information. (information은 셀 수 없는 명사)
✗ I have two childs. → ✓ I have two children. (child의 복수형은 children)","""a를 붙일 수 있나?""를 먼저 따져 보면 셀 수 있는 명사인지 알 수 있어요.","I have two {nouns}.","사물, 학교/문구, 장난감, 동물",""
